prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
店で愛と拓也が乾杯しようとしていた。拓也は冷えた飲み物を開け、,1014,1,3,4,5,7,14,16,23,24,拓,愛,拓,拓,愛,愛,ablation,店,0.2832,0.0591,0.0022
庭で拓也と大輔が歩いていたとき、大輔は珍しいバスケットボールを見つけ、すぐに,155,1,3,5,6,8,13,15,23,24,大,拓,大,大,拓,拓,ablation,拓,0.0447,0.0447,0.0306
家で美羽と優菜が準備をしていた。優菜は余分なコンピューターを持っていたので、,772,1,3,5,6,8,13,15,26,27,優,美,優,優,美,美,ablation,美,0.1768,0.1768,0.0154
家で一輝と七海が仕事をしていた。七海は新しいスナックを作成し、その内容を,487,1,3,5,6,8,12,14,25,26,七,一,七,七,一,一,ablation,一,0.1064,0.1064,0.0082
駅で彩と健太が本棚を見ていた。健太は面白そうなキスを選び、,633,1,4,5,6,8,14,16,23,24,健,彩,健,健,彩,彩,ablation,彩,0.6641,0.6641,0.0014
レストランで哲也と拓也が仕事をしていた。拓也は新しいネックレスを作成し、その内容を,453,1,3,5,6,8,12,14,25,26,拓,哲,拓,拓,哲,哲,ablation,レストラン,0.1162,0.0243,0.0042
駅で葵と拓也が準備をしていた。拓也は余分な骨を持っていたので、,778,1,4,5,6,8,13,15,23,24,拓,葵,拓,拓,葵,葵,ablation,葵,0.1187,0.1187,0.0013
レストランで翼と結衣が本棚を見ていた。結衣は面白そうな飲み物を選び、,598,1,3,4,5,7,13,15,22,23,結,翼,結,結,翼,翼,ablation,翼,0.3672,0.3672,0.0194
家で拓也と陽菜が帰り支度をしていた。陽菜は車のコンピューターを見つけ、,916,1,3,5,6,8,15,17,25,26,陽,拓,陽,陽,拓,拓,ablation,家,0.0337,0.0085,0.0179
美優と陽菜は店にいた。陽菜は落ちていたスナックを拾い、,79,1,1,3,4,6,11,13,22,23,陽,美,陽,陽,美,美,ablation,美,0.4551,0.4551,0.0069
店で哲也と陽菜が乾杯しようとしていた。陽菜は冷えた骨を開け、,1010,1,3,5,6,8,15,17,23,24,陽,哲,陽,陽,哲,哲,ablation,店,0.0439,0.0172,0.001
山でさくらと愛が準備をしていた。愛は余分なコンピューターを持っていたので、,788,1,3,6,7,8,13,14,25,26,愛,さ,愛,愛,さ,さ,eval,山,0.3184,0.0356,0.0245
庭で愛と翔太が帰り支度をしていた。翔太は車のスナックを見つけ、,879,1,3,4,5,7,14,16,23,24,翔,愛,翔,翔,愛,愛,ablation,庭,0.2246,0.0251,0.0197
学校で達也と拓也が仕事をしていた。拓也は新しい骨を作成し、その内容を,458,1,3,5,6,8,12,14,23,24,拓,達,拓,拓,達,達,ablation,達,0.4141,0.4141,0.0014
哲也と愛は店で修理をしていた。愛は近くにあった骨を掴み、,650,1,1,3,4,5,12,13,21,22,愛,哲,愛,愛,哲,哲,circuit,哲,0.668,0.668,0.0007
達也と美優は学校で修理をしていた。美優は近くにあったスナックを掴み、,679,1,1,3,4,6,13,15,25,26,美,達,美,美,達,達,ablation,達,0.2402,0.2402,0.0099
駅で葵と達也が乾杯しようとしていた。達也は冷えた骨を開け、,1066,1,4,5,6,8,15,17,23,24,達,葵,達,達,葵,葵,ablation,葵,0.1338,0.1338,0.0005
葵と大輔はオフィスの図書館にいた。大輔は借りていたコンピューターを読み終え、,980,1,1,2,3,5,17,19,30,31,大,葵,大,大,葵,葵,ablation,葵,0.2383,0.2383,0.0112
翼と結衣は病院で修理をしていた。結衣は近くにあった指輪を掴み、,680,1,1,2,3,5,13,15,24,25,結,翼,結,結,翼,翼,ablation,翼,0.2969,0.2969,0.009
山の隅で哲也と結衣が二人きりだった。結衣は衝撃的なバスケットボールを知り、こっそりと,571,1,5,7,8,10,16,18,34,35,結,哲,結,結,哲,哲,ablation,哲,0.1201,0.1201,0.0143
蓮と七海は学校にいた。七海は落ちていたキスを拾い、,97,1,1,2,3,5,10,12,20,21,七,蓮,七,七,蓮,蓮,ablation,蓮,0.5508,0.5508,0.0025
山で陸と和也が練習していた。和也はバスケットボールをキャッチすると、力強く,355,1,3,4,5,7,12,14,24,25,和,陸,和,和,陸,陸,circuit,投,0.1709,0.0045,0.0001
学校で葵と結衣が準備をしていた。結衣は余分なネックレスを持っていたので、,749,1,3,4,5,7,12,14,24,25,結,葵,結,結,葵,葵,ablation,葵,0.2559,0.2559,0.0732
山で亮と拓也が帰り支度をしていた。拓也は車のキスを見つけ、,929,1,3,4,5,7,14,16,22,23,拓,亮,拓,拓,亮,亮,ablation,山,0.1816,0.1328,0.0002
オフィスで美羽と翼が準備をしていた。翼は余分なキスを持っていたので、,761,1,5,7,8,9,14,15,24,25,翼,美,翼,翼,美,美,ablation,美,0.3926,0.3926,0.0063
直人と陽菜が家で席に着いた。陽菜は熱い指輪を持ってきて、,408,1,1,3,3,5,13,15,22,23,陽,直,陽,陽,直,直,ablation,直,0.4902,0.4902,0.0035
優菜と大輔は庭で休憩していた。大輔は携帯の画面にあるキスを表示し、,801,1,1,3,4,6,13,15,27,28,大,優,大,大,優,優,circuit,優,0.7031,0.7031,0.01
オフィスで優花と一輝が乾杯しようとしていた。一輝は冷えたコンピューターを開け、,1052,1,5,7,8,10,17,19,28,29,一,優,一,一,優,優,eval,優,0.1572,0.1572,0.0138
病院で亮と健太が歩いていたとき、健太は珍しいバスケットボールを見つけ、すぐに,179,1,4,5,6,8,13,15,23,24,健,亮,健,健,亮,亮,ablation,亮,0.7188,0.7188,0.0027
大輔と翔太が家で席に着いた。翔太は熱い指輪を持ってきて、,408,1,1,3,4,6,14,16,23,24,翔,大,翔,翔,大,大,circuit,大,0.5234,0.5234,0.0029
学校の隅で美優と翔太が二人きりだった。翔太は衝撃的なスナックを知り、こっそりと,535,1,5,7,8,10,16,18,34,35,翔,美,翔,翔,美,美,ablation,美,0.3555,0.3555,0.0291
学校の隅で直樹と和也が二人きりだった。和也は衝撃的な飲み物を知り、こっそりと,534,1,5,7,8,10,16,18,33,34,和,直,和,和,直,直,circuit,直,0.3027,0.3027,0.0206
店で翼と翔太が話していた。翔太はキスを取り出すと、,1,1,3,4,5,7,11,13,19,20,翔,翼,翔,翔,翼,翼,ablation,翼,0.2773,0.2773,0.0069
店で和也と美月が練習していた。美月はバスケットボールをキャッチすると、力強く,291,1,3,5,6,8,13,15,25,26,美,和,美,美,和,和,ablation,投,0.0962,0.0004,0.0005
美優と翔太が学校で席に着いた。翔太は熱い飲み物を持ってきて、,390,1,1,3,4,6,14,16,23,24,翔,美,翔,翔,美,美,ablation,美,0.6055,0.6055,0.0017
家で剛と美月が帰り支度をしていた。美月は車のスナックを見つけ、,919,1,3,4,5,7,14,16,23,24,美,剛,美,美,剛,剛,eval,車,0.0344,0.0135,0.0093
山で愛と健太が歩いていたとき、健太は珍しいキスを見つけ、すぐに,209,1,3,4,5,7,12,14,21,22,健,愛,健,健,愛,愛,ablation,山,0.3047,0.1973,0.0152
山で一輝と拓也が乾杯しようとしていた。拓也は冷えた飲み物を開け、,1078,1,3,5,6,8,15,17,24,25,拓,一,拓,拓,一,一,ablation,山,0.2412,0.1875,0.0004
山で亮と拓也が買い物をしていた。拓也は素敵なバスケットボールを購入し、,283,1,3,4,5,7,12,14,23,24,拓,亮,拓,拓,亮,亮,ablation,山,0.4395,0.3203,0.0
健太と翔太はオフィスで修理をしていた。翔太は近くにあった指輪を掴み、,688,1,1,3,4,6,15,17,26,27,翔,健,翔,翔,健,健,ablation,健,0.5195,0.5195,0.0014
学校で智也と直樹が話していた。直樹は骨を取り出すと、,26,1,3,5,6,8,12,14,19,20,直,智,直,直,智,智,circuit,智,0.0752,0.0752,0.0139
学校で直人と健太が話していた。健太はスナックを取り出すと、,31,1,3,5,5,7,11,13,20,21,健,直,健,健,直,直,ablation,直,0.2949,0.2949,0.0011
花と美月は学校で休憩していた。美月は携帯の画面にあるバスケットボールを表示し、,819,1,1,2,3,5,12,14,27,28,美,花,美,美,花,花,circuit,花,0.6719,0.6719,0.0079
庭で美月と一輝が準備をしていた。一輝は余分なキスを持っていたので、,729,1,3,5,6,8,13,15,24,25,一,美,一,一,美,美,ablation,美,0.332,0.332,0.0352
美月と大輔は家にいた。大輔は落ちていたキスを拾い、,121,1,1,3,4,6,11,13,21,22,大,美,大,大,美,美,ablation,美,0.4883,0.4883,0.0074
オフィスで葵と美優が歩いていたとき、美優は珍しいネックレスを見つけ、すぐに,189,1,5,6,7,9,14,16,24,25,美,葵,美,美,葵,葵,ablation,葵,0.4004,0.4004,0.0398
店でさくらと愛が練習していた。愛は骨をキャッチすると、力強く,290,1,3,6,7,8,13,14,22,23,愛,さ,愛,愛,さ,さ,eval,、,0.0464,0.0171,0.0046
オフィスで葵と哲也が乾杯しようとしていた。哲也は冷えたスナックを開け、,1055,1,5,6,7,9,16,18,26,27,哲,葵,哲,哲,葵,葵,ablation,葵,0.332,0.332,0.0004
山で葵と愛が帰り支度をしていた。愛は車の指輪を見つけ、,928,1,3,4,5,6,13,14,20,21,愛,葵,愛,愛,葵,葵,ablation,葵,0.3418,0.3418,0.0031
優菜と涼太がレストランで席に着いた。涼太は熱い指輪を持ってきて、,376,1,1,3,4,6,14,16,23,24,涼,優,涼,涼,優,優,ablation,優,0.5547,0.5547,0.0058
店で拓也と陽菜が乾杯しようとしていた。陽菜は冷えたコンピューターを開け、,1012,1,3,5,6,8,15,17,26,27,陽,拓,陽,陽,拓,拓,ablation,店,0.124,0.0549,0.0031
病院で陸と直樹が仕事をしていた。直樹は新しいスナックを作成し、その内容を,471,1,4,5,6,8,12,14,25,26,直,陸,直,直,陸,陸,ablation,病,0.209,0.0466,0.0012
病院で愛と健太が練習していた。健太は指輪をキャッチすると、力強く,320,1,4,5,6,8,13,15,24,25,健,愛,健,健,愛,愛,ablation,、,0.04,0.0107,0.0009
病院で葵と翔太が帰り支度をしていた。翔太は車のスナックを見つけ、,903,1,4,5,6,8,15,17,24,25,翔,葵,翔,翔,葵,葵,eval,葵,0.4238,0.4238,0.0021
駅で愛と大輔が準備をしていた。大輔は余分なスナックを持っていたので、,783,1,4,5,6,8,13,15,25,26,大,愛,大,大,愛,愛,ablation,大,0.1226,0.1226,0.1226
彩と健太は家にいた。健太は落ちていた飲み物を拾い、,126,1,1,2,3,5,10,12,20,21,健,彩,健,健,彩,彩,circuit,彩,0.7266,0.7266,0.0002
オフィスで和也と七海が歩いていたとき、七海は珍しい骨を見つけ、すぐに,186,1,5,7,8,10,15,17,23,24,七,和,七,七,和,和,ablation,和,0.1416,0.1416,0.0096
陸と結衣は店にいた。結衣は落ちていたスナックを拾い、,79,1,1,2,3,5,10,12,21,22,結,陸,結,結,陸,陸,ablation,陸,0.4805,0.4805,0.0047
一輝と美優が病院で席に着いた。美優は熱い指輪を持ってきて、,392,1,1,3,4,6,15,17,24,25,美,一,美,美,一,一,ablation,一,0.3555,0.3555,0.0114
学校で葵と拓也が乾杯しようとしていた。拓也は冷えた飲み物を開け、,1038,1,3,4,5,7,14,16,23,24,拓,葵,拓,拓,葵,葵,ablation,葵,0.2539,0.2539,0.0001
店で陽菜と翔太が買い物をしていた。翔太は素敵なキスを購入し、,217,1,3,5,6,8,13,15,23,24,翔,陽,翔,翔,陽,陽,ablation,店,0.3828,0.2188,0.0016
山で大輔と翔太が仕事をしていた。翔太は新しいキスを作成し、その内容を,497,1,3,5,6,8,12,14,24,25,翔,大,翔,翔,大,大,eval,山,0.2754,0.1895,0.0002
陽菜と大輔は病院の図書館にいた。大輔は借りていたキスを読み終え、,969,1,1,3,4,6,17,19,28,29,大,陽,大,大,陽,陽,ablation,陽,0.1641,0.1641,0.0105
庭で美月と翼が歩いていたとき、翼は珍しい指輪を見つけ、すぐに,152,1,3,5,6,7,12,13,20,21,翼,美,翼,翼,美,美,ablation,美,0.3652,0.3652,0.0023
レストランの隅でさくらと愛が二人きりだった。愛は衝撃的な骨を知り、こっそりと,522,1,5,8,9,10,16,17,31,32,愛,さ,愛,愛,さ,さ,eval,さ,0.063,0.063,0.0337
レストランで拓也と陽菜が本棚を見ていた。陽菜は面白そうなネックレスを選び、,597,1,3,5,6,8,14,16,24,25,陽,拓,陽,陽,拓,拓,ablation,拓,0.2734,0.2734,0.0082
美優と亮は駅にいた。亮は落ちていたキスを拾い、,129,1,1,3,4,5,11,12,20,21,亮,美,亮,亮,美,美,ablation,美,0.543,0.543,0.0004
オフィスで達也と健太が練習していた。健太はコンピューターをキャッチすると、力強く,332,1,5,7,8,10,15,17,28,29,健,達,健,健,達,達,ablation,、,0.0403,0.0001,0.0012
学校で翼と健太が帰り支度をしていた。健太は車のスナックを見つけ、,895,1,3,4,5,7,14,16,23,24,健,翼,健,健,翼,翼,circuit,翼,0.4102,0.4102,0.0038
店で葵と七海が練習していた。七海は指輪をキャッチすると、力強く,288,1,3,4,5,7,12,14,23,24,七,葵,七,七,葵,葵,ablation,腕,0.0859,0.0062,0.0005
家で彩と美月が帰り支度をしていた。美月は車のコンピューターを見つけ、,916,1,3,4,5,7,14,16,24,25,美,彩,美,美,彩,彩,ablation,彩,0.1128,0.1128,0.0197
彩と美月は病院で休憩していた。美月は携帯の画面にあるコンピューターを表示し、,828,1,1,2,3,5,13,15,29,30,美,彩,美,美,彩,彩,ablation,彩,0.4141,0.4141,0.0142
陽菜と翔太は病院の図書館にいた。翔太は借りていたバスケットボールを読み終え、,971,1,1,3,4,6,17,19,29,30,翔,陽,翔,翔,陽,陽,ablation,陽,0.1787,0.1787,0.0006
レストランの隅で美月と健太が二人きりだった。健太は衝撃的なバスケットボールを知り、こっそりと,523,1,5,7,8,10,16,18,34,35,健,美,健,健,美,美,ablation,美,0.3672,0.3672,0.0134
店で花と翼が帰り支度をしていた。翼は車のバスケットボールを見つけ、,867,1,3,4,5,6,13,14,21,22,翼,花,翼,翼,花,花,ablation,花,0.1328,0.1328,0.0042
庭で彩と美優が練習していた。美優はネックレスをキャッチすると、力強く,301,1,3,4,5,7,12,14,24,25,美,彩,美,美,彩,彩,ablation,手,0.0311,0.0012,0.0031
庭で結衣と陽菜が仕事をしていた。陽菜は新しいバスケットボールを作成し、その内容を,443,1,3,5,6,8,12,14,25,26,陽,結,陽,陽,結,結,ablation,庭,0.1865,0.0605,0.0041
涼太と美月は駅にいた。美月は落ちていたネックレスを拾い、,133,1,1,3,4,6,12,14,23,24,美,涼,美,美,涼,涼,ablation,涼,0.8047,0.8047,0.0014
さくらと亮は庭で修理をしていた。亮は近くにあった飲み物を掴み、,662,1,1,4,5,6,13,14,23,24,亮,さ,亮,亮,さ,さ,ablation,さ,0.4727,0.4727,0.0005
駅の隅で剛と哲也が二人きりだった。哲也は衝撃的なバスケットボールを知り、こっそりと,563,1,6,7,8,10,16,18,34,35,哲,剛,哲,哲,剛,剛,ablation,剛,0.0491,0.0491,0.0264
美優と亮はレストランにいた。亮は落ちていた飲み物を拾い、,94,1,1,3,4,5,10,11,19,20,亮,美,亮,亮,美,美,ablation,美,0.4004,0.4004,0.0004
店で涼太と亮が練習していた。亮はネックレスをキャッチすると、力強く,293,1,3,5,6,7,12,13,23,24,亮,涼,亮,亮,涼,涼,ablation,振り,0.0508,0.0002,0.0002
さくらと亮が駅で席に着いた。亮は熱いネックレスを持ってきて、,421,1,1,4,5,6,15,16,24,25,亮,さ,亮,亮,さ,さ,ablation,さ,0.6953,0.6953,0.001
駅で彩と大輔が本棚を見ていた。大輔は面白そうなスナックを選び、,639,1,4,5,6,8,14,16,24,25,大,彩,大,大,彩,彩,ablation,彩,0.5273,0.5273,0.0181
店で愛と陽菜が練習していた。陽菜はバスケットボールをキャッチすると、力強く,291,1,3,4,5,7,12,14,24,25,陽,愛,陽,陽,愛,愛,ablation,投,0.0889,0.0015,0.0027
翼と哲也は病院の図書館にいた。哲也は借りていたバスケットボールを読み終え、,971,1,1,2,3,5,16,18,28,29,哲,翼,哲,哲,翼,翼,ablation,翼,0.3242,0.3242,0.0025
オフィスの隅で七海と哲也が二人きりだった。哲也は衝撃的な指輪を知り、こっそりと,544,1,7,9,10,12,18,20,35,36,哲,七,哲,哲,七,七,ablation,七,0.2715,0.2715,0.0032
店で結衣と陽菜が買い物をしていた。陽菜は素敵な指輪を購入し、,216,1,3,5,6,8,13,15,23,24,陽,結,陽,陽,結,結,ablation,結,0.7031,0.7031,0.0015
涼太と亮が山で席に着いた。亮は熱いバスケットボールを持ってきて、,427,1,1,3,4,5,13,14,22,23,亮,涼,亮,亮,涼,涼,ablation,涼,0.8477,0.8477,0.0
剛と拓也がレストランで席に着いた。拓也は熱い骨を持ってきて、,378,1,1,2,3,5,13,15,21,22,拓,剛,拓,拓,剛,剛,ablation,剛,0.0293,0.0293,0.0228
家で亮と陽菜が買い物をしていた。陽菜は素敵なコンピューターを購入し、,268,1,3,4,5,7,12,14,24,25,陽,亮,陽,陽,亮,亮,ablation,亮,0.2344,0.2344,0.0071
和也と美月が病院で席に着いた。美月は熱い骨を持ってきて、,394,1,1,3,4,6,15,17,23,24,美,和,美,美,和,和,ablation,和,0.291,0.291,0.0034
山で達也と愛が練習していた。愛は骨をキャッチすると、力強く,354,1,3,5,6,7,12,13,21,22,愛,達,愛,愛,達,達,ablation,、,0.0393,0.0003,0.001
里奈と彩は学校で修理をしていた。彩は近くにあったネックレスを掴み、,677,1,1,3,4,5,12,13,23,24,彩,里,彩,彩,里,里,ablation,里,0.1182,0.1182,0.0032
山で愛と翔太が練習していた。翔太はキスをキャッチすると、力強く,353,1,3,4,5,7,12,14,23,24,翔,愛,翔,翔,愛,愛,ablation,抱,0.0669,0.0297,0.0075
亮と陽菜が家で席に着いた。陽菜は熱いスナックを持ってきて、,415,1,1,2,3,5,13,15,23,24,陽,亮,陽,陽,亮,亮,ablation,亮,0.167,0.167,0.0065
レストランで美月と結衣が乾杯しようとしていた。結衣は冷えた骨を開け、,1026,1,3,5,6,8,15,17,23,24,結,美,結,結,美,美,ablation,美,0.2061,0.2061,0.0011
病院で愛と健太が歩いていたとき、健太は珍しい指輪を見つけ、すぐに,176,1,4,5,6,8,13,15,22,23,健,愛,健,健,愛,愛,circuit,病,0.3086,0.1865,0.0077
レストランで優菜と愛が帰り支度をしていた。愛は車のスナックを見つけ、,887,1,3,5,6,7,14,15,22,23,愛,優,愛,愛,優,優,circuit,優,0.2236,0.2236,0.0112
病院で哲也と陽菜が買い物をしていた。陽菜は素敵なネックレスを購入し、,253,1,4,6,7,9,14,16,25,26,陽,哲,陽,陽,哲,哲,ablation,哲,0.2217,0.2217,0.0063
家の隅で美月と葵が二人きりだった。葵は衝撃的な指輪を知り、こっそりと,552,1,4,6,7,8,14,15,30,31,葵,美,葵,葵,美,美,ablation,美,0.3594,0.3594,0.002
家で健太と大輔が準備をしていた。大輔は余分なバスケットボールを持っていたので、,771,1,3,5,6,8,13,15,25,26,大,健,大,大,健,健,circuit,健,0.1426,0.1426,0.0233
葵と健太はオフィスの図書館にいた。健太は借りていたキスを読み終え、,977,1,1,2,3,5,17,19,28,29,健,葵,健,健,葵,葵,circuit,葵,0.3711,0.3711,0.0006
駅で直人と拓也が話していた。拓也はコンピューターを取り出すと、,60,1,4,6,6,8,12,14,22,23,拓,直,拓,拓,直,直,ablation,直,0.0981,0.0981,0.0004
病院で一輝と達也が練習していた。達也はネックレスをキャッチすると、力強く,325,1,4,6,7,9,14,16,26,27,達,一,達,達,一,一,eval,投,0.0317,0.0281,0.0
山で健太と陽菜が仕事をしていた。陽菜は新しいスナックを作成し、その内容を,503,1,3,5,6,8,12,14,25,26,陽,健,陽,陽,健,健,circuit,山,0.457,0.1787,0.0035
庭でさくらと亮が話していた。亮は飲み物を取り出すと、,14,1,3,6,7,8,12,13,19,20,亮,さ,亮,亮,さ,さ,circuit,庭,0.5312,0.0282,0.0063
家で達也と結衣が乾杯しようとしていた。結衣は冷えた飲み物を開け、,1062,1,3,5,6,8,15,17,24,25,結,達,結,結,達,達,circuit,家,0.2441,0.0898,0.0033
家で結衣と健太が仕事をしていた。健太は新しい指輪を作成し、その内容を,480,1,3,5,6,8,12,14,24,25,健,結,健,健,結,結,ablation,結,0.1582,0.1582,0.0332
駅で愛と結衣が準備をしていた。結衣は余分なネックレスを持っていたので、,781,1,4,5,6,8,13,15,25,26,結,愛,結,結,愛,愛,circuit,愛,0.2207,0.2207,0.1719
庭で和也と健太が買い物をしていた。健太は素敵な指輪を購入し、,224,1,3,5,6,8,13,15,23,24,健,和,健,健,和,和,ablation,和,0.4355,0.4355,0.002
家で葵と健太が乾杯しようとしていた。健太は冷えた飲み物を開け、,1062,1,3,4,5,7,14,16,23,24,健,葵,健,健,葵,葵,ablation,葵,0.2354,0.2354,0.0013
レストランで里奈と健太が乾杯しようとしていた。健太は冷えたバスケットボールを開け、,1027,1,3,5,6,8,15,17,25,26,健,里,健,健,里,里,ablation,里,0.0659,0.0659,0.0024
レストランで直人と大輔が乾杯しようとしていた。大輔は冷えた指輪を開け、,1024,1,3,5,5,7,14,16,23,24,大,直,大,大,直,直,circuit,直,0.1924,0.1924,0.0115
山の隅で花と翔太が二人きりだった。翔太は衝撃的なバスケットボールを知り、こっそりと,571,1,5,6,7,9,15,17,33,34,翔,花,翔,翔,花,花,circuit,山,0.1699,0.1094,0.0486
オフィスで涼太と拓也が本棚を見ていた。拓也は面白そうなキスを選び、,617,1,5,7,8,10,16,18,25,26,拓,涼,拓,拓,涼,涼,ablation,涼,0.3926,0.3926,0.0004
山で優花と健太が練習していた。健太は骨をキャッチすると、力強く,354,1,3,5,6,8,13,15,23,24,健,優,健,健,優,優,ablation,、,0.0417,0.006,0.0025
学校で美月と葵が話していた。葵は指輪を取り出すと、,24,1,3,5,6,7,11,12,18,19,葵,美,葵,葵,美,美,ablation,美,0.4316,0.4316,0.0001
庭でさくらと亮が本棚を見ていた。亮は面白そうなスナックを選び、,591,1,3,6,7,8,14,15,23,24,亮,さ,亮,亮,さ,さ,ablation,庭,0.5898,0.0157,0.004
庭で哲也と陽菜が話していた。陽菜は骨を取り出すと、,10,1,3,5,6,8,12,14,19,20,陽,哲,陽,陽,哲,哲,ablation,庭,0.2949,0.0177,0.0045
レストランの隅で達也と拓也が二人きりだった。拓也は衝撃的なコンピューターを知り、こっそりと,524,1,5,7,8,10,16,18,35,36,拓,達,拓,拓,達,達,ablation,達,0.2988,0.2988,0.0123
病院で直樹と葵が乾杯しようとしていた。葵は冷えたバスケットボールを開け、,1043,1,4,6,7,8,15,16,24,25,葵,直,葵,葵,直,直,ablation,直,0.1631,0.1631,0.0003
オフィスで裕太と花が準備をしていた。花は余分なネックレスを持っていたので、,765,1,5,7,8,9,14,15,25,26,花,裕,花,花,裕,裕,ablation,裕,0.3945,0.3945,0.0197
病院で達也と哲也が本棚を見ていた。哲也は面白そうな飲み物を選び、,614,1,4,6,7,9,15,17,24,25,哲,達,哲,哲,達,達,ablation,達,0.1748,0.1748,0.0063
家の隅で一輝と美優が二人きりだった。美優は衝撃的なコンピューターを知り、こっそりと,556,1,4,6,7,9,15,17,34,35,美,一,美,美,一,一,ablation,家,0.1221,0.1011,0.0542
学校で涼太と愛が練習していた。愛は指輪をキャッチすると、力強く,312,1,3,5,6,7,12,13,22,23,愛,涼,愛,愛,涼,涼,ablation,腕,0.0339,0.0003,0.011
病院で拓也と健太が乾杯しようとしていた。健太は冷えた飲み物を開け、,1046,1,4,6,7,9,16,18,25,26,健,拓,健,健,拓,拓,ablation,拓,0.0781,0.0781,0.0027
優花と達也は学校で休憩していた。達也は携帯の画面にあるネックレスを表示し、,821,1,1,3,4,6,13,15,28,29,達,優,達,達,優,優,ablation,優,0.5898,0.5898,0.0054
優菜と達也は山で休憩していた。達也は携帯の画面にある飲み物を表示し、,862,1,1,3,4,6,13,15,27,28,達,優,達,達,優,優,ablation,優,0.6055,0.6055,0.0111
オフィスで拓也と結衣が本棚を見ていた。結衣は面白そうなバスケットボールを選び、,619,1,5,7,8,10,16,18,26,27,結,拓,結,結,拓,拓,ablation,拓,0.2969,0.2969,0.0029
店で翼と結衣が歩いていたとき、結衣は珍しいバスケットボールを見つけ、すぐに,147,1,3,4,5,7,12,14,22,23,結,翼,結,結,翼,翼,ablation,店,0.0791,0.0742,0.0481
和也と葵が駅で席に着いた。葵は熱いスナックを持ってきて、,423,1,1,3,4,5,14,15,23,24,葵,和,葵,葵,和,和,ablation,和,0.3281,0.3281,0.0008
家で直樹と七海が準備をしていた。七海は余分な指輪を持っていたので、,768,1,3,5,6,8,13,15,24,25,七,直,七,七,直,直,ablation,直,0.4512,0.4512,0.0165
山で達也と亮が仕事をしていた。亮は新しいコンピューターを作成し、その内容を,500,1,3,5,6,7,11,12,24,25,亮,達,亮,亮,達,達,ablation,山,0.3359,0.1094,0.0009
店で彩と和也が話していた。和也は骨を取り出すと、,2,1,3,4,5,7,11,13,18,19,和,彩,和,和,彩,彩,circuit,彩,0.2256,0.2256,0.0047
駅で翼と陽菜が乾杯しようとしていた。陽菜は冷えた飲み物を開け、,1070,1,4,5,6,8,15,17,24,25,陽,翼,陽,陽,翼,翼,ablation,翼,0.2715,0.2715,0.0028
哲也と愛は学校にいた。愛は落ちていたスナックを拾い、,103,1,1,3,4,5,10,11,20,21,愛,哲,愛,愛,哲,哲,eval,哲,0.8711,0.8711,0.0004
病院で陽菜と大輔が乾杯しようとしていた。大輔は冷えた指輪を開け、,1040,1,4,6,7,9,16,18,25,26,大,陽,大,大,陽,陽,circuit,陽,0.1357,0.1357,0.0049
店で一輝と愛が乾杯しようとしていた。愛は冷えた飲み物を開け、,1014,1,3,5,6,7,14,15,22,23,愛,一,愛,愛,一,一,eval,一,0.2314,0.2314,0.0037
山で美月と拓也が買い物をしていた。拓也は素敵なキスを購入し、,281,1,3,5,6,8,13,15,23,24,拓,美,拓,拓,美,美,ablation,美,0.4551,0.4551,0.0001
病院で一輝と拓也が話していた。拓也は骨を取り出すと、,34,1,4,6,7,9,13,15,20,21,拓,一,拓,拓,一,一,eval,一,0.1216,0.1216,0.0068
病院で亮と拓也が帰り支度をしていた。拓也は車の骨を見つけ、,898,1,4,5,6,8,15,17,22,23,拓,亮,拓,拓,亮,亮,ablation,亮,0.3418,0.3418,0.0007
レストランで達也と愛が買い物をしていた。愛は素敵なキスを購入し、,233,1,3,5,6,7,12,13,21,22,愛,達,愛,愛,達,達,eval,達,0.6836,0.6836,0.0076
彩と健太は学校の図書館にいた。健太は借りていたキスを読み終え、,961,1,1,2,3,5,15,17,26,27,健,彩,健,健,彩,彩,eval,彩,0.4492,0.4492,0.0006
店で葵と七海が乾杯しようとしていた。七海は冷えた飲み物を開け、,1014,1,3,4,5,7,14,16,23,24,七,葵,七,七,葵,葵,ablation,葵,0.1367,0.1367,0.0018
彩と拓也は山で休憩していた。拓也は携帯の画面にある飲み物を表示し、,862,1,1,2,3,5,12,14,26,27,拓,彩,拓,拓,彩,彩,ablation,彩,0.6055,0.6055,0.0006
学校の隅で美咲と翔太が二人きりだった。翔太は衝撃的なバスケットボールを知り、こっそりと,531,1,5,8,9,11,17,19,35,36,翔,美,翔,翔,美,美,ablation,美,0.4277,0.4277,0.0398
学校の隅で直人と拓也が二人きりだった。拓也は衝撃的なコンピューターを知り、こっそりと,532,1,5,7,7,9,15,17,34,35,拓,直,拓,拓,直,直,ablation,直,0.2432,0.2432,0.0078
庭で剛と健太が話していた。健太は骨を取り出すと、,10,1,3,4,5,7,11,13,18,19,健,剛,健,健,剛,剛,ablation,庭,0.0566,0.0077,0.0014
庭でさくらと愛が買い物をしていた。愛は素敵なキスを購入し、,225,1,3,6,7,8,13,14,22,23,愛,さ,愛,愛,さ,さ,ablation,庭,0.4492,0.0347,0.0029
