prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
健太と大輔は庭の図書館にいた。大輔は借りていた骨を読み終え、,946,1,1,3,4,6,16,18,27,大,健,大,大,健,健,ablation,健,0.2217,0.2217,0.0133
レストランの隅で達也と拓也が二人きりだった。拓也は衝撃的なコンピューターを知り、こっそりと,524,1,5,7,8,10,16,18,36,拓,達,拓,拓,達,達,ablation,達,0.2988,0.2988,0.0123
美月と一輝はレストランの図書館にいた。一輝は借りていたバスケットボールを読み終え、,955,1,1,3,4,6,16,18,29,一,美,一,一,美,美,ablation,美,0.5156,0.5156,0.0422
学校で七海と陽菜が仕事をしていた。陽菜は新しい指輪を作成し、その内容を,456,1,3,5,6,8,12,14,25,陽,七,陽,陽,七,七,ablation,七,0.2061,0.2061,0.0232
庭で哲也と大輔が買い物をしていた。大輔は素敵な飲み物を購入し、,230,1,3,5,6,8,13,15,24,大,哲,大,大,哲,哲,ablation,庭,0.6055,0.0466,0.0046
山で翼と結衣が本棚を見ていた。結衣は面白そうなスナックを選び、,647,1,3,4,5,7,13,15,24,結,翼,結,結,翼,翼,circuit,翼,0.4258,0.4258,0.0037
陽菜と翔太は学校で休憩していた。翔太は携帯の画面にある骨を表示し、,818,1,1,3,4,6,13,15,27,翔,陽,翔,翔,陽,陽,ablation,陽,0.3672,0.3672,0.0008
庭で里奈と七海が練習していた。七海はコンピューターをキャッチすると、力強く,300,1,3,5,6,8,13,15,27,七,里,七,七,里,里,ablation,、,0.0376,0.0001,0.0003
美月と葵は病院で修理をしていた。葵は近くにあったコンピューターを掴み、,684,1,1,3,4,5,13,14,26,葵,美,葵,葵,美,美,ablation,美,0.3984,0.3984,0.0
庭で健太と翔太が練習していた。翔太は骨をキャッチすると、力強く,298,1,3,5,6,8,13,15,24,翔,健,翔,翔,健,健,ablation,、,0.0432,0.0059,0.0008
店で翼と達也が本棚を見ていた。達也は面白そうなキスを選び、,577,1,3,4,5,7,13,15,23,達,翼,達,達,翼,翼,ablation,翼,0.293,0.293,0.0009
庭で直樹と美優が準備をしていた。美優は余分な飲み物を持っていたので、,734,1,3,5,6,8,13,15,25,美,直,美,美,直,直,ablation,直,0.1992,0.1992,0.0238
亮と大輔が学校で席に着いた。大輔は熱いコンピューターを持ってきて、,388,1,1,2,3,5,13,15,25,大,亮,大,大,亮,亮,ablation,亮,0.1123,0.1123,0.0052
レストランで愛と翔太が歩いていたとき、翔太は珍しい指輪を見つけ、すぐに,160,1,3,4,5,7,12,14,22,翔,愛,翔,翔,愛,愛,ablation,愛,0.0718,0.0718,0.011
家で陸と陽菜が練習していた。陽菜はコンピューターをキャッチすると、力強く,340,1,3,4,5,7,12,14,26,陽,陸,陽,陽,陸,陸,eval,、,0.0452,0.0009,0.0014
駅で陸と和也が乾杯しようとしていた。和也は冷えた骨を開け、,1066,1,4,5,6,8,15,17,24,和,陸,和,和,陸,陸,ablation,陸,0.0386,0.0386,0.0028
駅で亮と結衣が買い物をしていた。結衣は素敵なコンピューターを購入し、,276,1,4,5,6,8,13,15,26,結,亮,結,結,亮,亮,ablation,亮,0.4238,0.4238,0.0288
店の隅で結衣と翔太が二人きりだった。翔太は衝撃的な飲み物を知り、こっそりと,510,1,5,7,8,10,16,18,34,翔,結,翔,翔,結,結,ablation,結,0.248,0.248,0.0261
学校で和也と哲也が帰り支度をしていた。哲也は車のコンピューターを見つけ、,892,1,3,5,6,8,15,17,26,哲,和,哲,哲,和,和,ablation,和,0.1475,0.1475,0.0002
病院で優菜と剛が歩いていたとき、剛は珍しいスナックを見つけ、すぐに,183,1,4,6,7,8,13,14,23,剛,優,剛,剛,優,優,ablation,買,0.1226,0.0481,0.0004
一輝と七海はオフィスで修理をしていた。七海は近くにあった指輪を掴み、,688,1,1,3,4,6,15,17,27,七,一,七,七,一,一,ablation,一,0.2949,0.2949,0.0013
店で和也と結衣が買い物をしていた。結衣は素敵なキスを購入し、,217,1,3,5,6,8,13,15,24,結,和,結,結,和,和,ablation,和,0.4844,0.4844,0.0027
オフィスで涼太と亮が練習していた。亮はキスをキャッチすると、力強く,329,1,5,7,8,9,14,15,25,亮,涼,亮,亮,涼,涼,ablation,「,0.0435,0.0016,0.002
オフィスで涼太と一輝が帰り支度をしていた。一輝は車の飲み物を見つけ、,910,1,5,7,8,10,17,19,26,一,涼,一,一,涼,涼,circuit,涼,0.1914,0.1914,0.0312
拓也と健太は家の図書館にいた。健太は借りていた飲み物を読み終え、,990,1,1,3,4,6,15,17,27,健,拓,健,健,拓,拓,ablation,拓,0.125,0.125,0.001
美咲と翔太は学校の図書館にいた。翔太は借りていた飲み物を読み終え、,966,1,1,4,5,7,17,19,29,翔,美,翔,翔,美,美,ablation,美,0.4844,0.4844,0.0065
庭で翼と美優が仕事をしていた。美優は新しいネックレスを作成し、その内容を,445,1,3,4,5,7,11,13,25,美,翼,美,美,翼,翼,ablation,美,0.0623,0.0515,0.0623
病院の隅で剛と優花が二人きりだった。優花は衝撃的な飲み物を知り、こっそりと,542,1,6,7,8,10,16,18,34,優,剛,優,優,剛,剛,eval,飲,0.082,0.0111,0.0013
駅で千尋と涼太が準備をしていた。涼太は余分な飲み物を持っていたので、,782,1,4,6,7,9,14,16,26,涼,千,涼,涼,千,千,ablation,千,0.4473,0.4473,0.0417
学校で結衣と健太が買い物をしていた。健太は素敵なスナックを購入し、,247,1,3,5,6,8,13,15,25,健,結,健,健,結,結,ablation,結,0.6289,0.6289,0.0115
レストランで陸と大輔が乾杯しようとしていた。大輔は冷えたスナックを開け、,1031,1,3,4,5,7,14,16,25,大,陸,大,大,陸,陸,ablation,陸,0.1387,0.1387,0.0037
庭で亮と結衣が仕事をしていた。結衣は新しいスナックを作成し、その内容を,447,1,3,4,5,7,11,13,25,結,亮,結,結,亮,亮,eval,亮,0.2197,0.2197,0.0008
家で愛と大輔が帰り支度をしていた。大輔は車の指輪を見つけ、,912,1,3,4,5,7,14,16,23,大,愛,大,大,愛,愛,eval,家,0.0786,0.0226,0.0693
オフィスで翼と拓也が話していた。拓也はバスケットボールを取り出すと、,43,1,5,6,7,9,13,15,23,拓,翼,拓,拓,翼,翼,ablation,翼,0.1631,0.1631,0.001
学校で拓也と陽菜が歩いていたとき、陽菜は珍しいバスケットボールを見つけ、すぐに,171,1,3,5,6,8,13,15,24,陽,拓,陽,陽,拓,拓,ablation,拓,0.0771,0.0771,0.0344
レストランで大輔と翔太が練習していた。翔太は指輪をキャッチすると、力強く,304,1,3,5,6,8,13,15,25,翔,大,翔,翔,大,大,eval,手,0.0361,0.0041,0.0007
庭で和也と大輔が帰り支度をしていた。大輔は車の骨を見つけ、,874,1,3,5,6,8,15,17,23,大,和,大,大,和,和,ablation,庭,0.1357,0.0996,0.0322
学校の隅で聡と美羽が二人きりだった。美羽は衝撃的な飲み物を知り、こっそりと,534,1,5,7,8,10,16,18,34,美,�,美,美,�,�,ablation,�,0.1113,0.0,0.0435
陸と優菜が学校で席に着いた。優菜は熱い骨を持ってきて、,386,1,1,2,3,5,13,15,22,優,陸,優,優,陸,陸,eval,陸,0.2891,0.2891,0.0044
庭で達也と結衣が仕事をしていた。結衣は新しい骨を作成し、その内容を,442,1,3,5,6,8,12,14,24,結,達,結,結,達,達,ablation,達,0.1836,0.1836,0.0043
陽菜と翔太が山で席に着いた。翔太は熱い骨を持ってきて、,426,1,1,3,4,6,14,16,23,翔,陽,翔,翔,陽,陽,ablation,陽,0.2256,0.2256,0.0002
直人と拓也は山にいた。拓也は落ちていたキスを拾い、,137,1,1,3,3,5,10,12,21,拓,直,拓,拓,直,直,ablation,直,0.5195,0.5195,0.0001
葵と哲也が家で席に着いた。哲也は熱いバスケットボールを持ってきて、,411,1,1,2,3,5,13,15,24,哲,葵,哲,哲,葵,葵,ablation,葵,0.3047,0.3047,0.0012
家で優花と七海が買い物をしていた。七海は素敵なバスケットボールを購入し、,267,1,3,5,6,8,13,15,25,七,優,七,七,優,優,eval,優,0.6445,0.6445,0.0063
山で亮と陽菜が準備をしていた。陽菜は余分な飲み物を持っていたので、,790,1,3,4,5,7,12,14,24,陽,亮,陽,陽,亮,亮,ablation,山,0.3066,0.0322,0.006
家で陸と結衣が帰り支度をしていた。結衣は車のネックレスを見つけ、,917,1,3,4,5,7,14,16,24,結,陸,結,結,陸,陸,ablation,陸,0.0579,0.0579,0.033
オフィスで智也と美月が帰り支度をしていた。美月は車のキスを見つけ、,905,1,5,7,8,10,17,19,26,美,智,美,美,智,智,ablation,智,0.0549,0.0549,0.0201
和也と結衣は庭で休憩していた。結衣は携帯の画面にある飲み物を表示し、,806,1,1,3,4,6,13,15,28,結,和,結,結,和,和,ablation,和,0.3086,0.3086,0.0008
美優と健太はオフィスの図書館にいた。健太は借りていたバスケットボールを読み終え、,979,1,1,3,4,6,18,20,31,健,美,健,健,美,美,ablation,美,0.5664,0.5664,0.0005
オフィスで愛と翔太が乾杯しようとしていた。翔太は冷えたキスを開け、,1049,1,5,6,7,9,16,18,26,翔,愛,翔,翔,愛,愛,ablation,オ,0.209,0.0413,0.0015
蓮と七海はオフィスで修理をしていた。七海は近くにあったコンピューターを掴み、,692,1,1,2,3,5,14,16,28,七,蓮,七,七,蓮,蓮,ablation,蓮,0.2773,0.2773,0.0023
オフィスで達也と翔太が歩いていたとき、翔太は珍しいバスケットボールを見つけ、すぐに,187,1,5,7,8,10,15,17,26,翔,達,翔,翔,達,達,ablation,達,0.2949,0.2949,0.0095
山で七海と大輔が仕事をしていた。大輔は新しいコンピューターを作成し、その内容を,500,1,3,5,6,8,12,14,27,大,七,大,大,七,七,ablation,山,0.3691,0.1357,0.0153
達也と哲也は店で修理をしていた。哲也は近くにあったネックレスを掴み、,653,1,1,3,4,6,13,15,26,哲,達,哲,哲,達,達,circuit,達,0.2637,0.2637,0.0015
病院の隅で翼と美優が二人きりだった。美優は衝撃的なコンピューターを知り、こっそりと,540,1,6,7,8,10,16,18,36,美,翼,美,美,翼,翼,ablation,翼,0.1807,0.1807,0.0664
店の隅で涼太と亮が二人きりだった。亮は衝撃的なバスケットボールを知り、こっそりと,507,1,5,7,8,9,15,16,33,亮,涼,亮,亮,涼,涼,ablation,涼,0.3125,0.3125,0.0101
学校で結衣と陽菜が乾杯しようとしていた。陽菜は冷えた飲み物を開け、,1038,1,3,5,6,8,15,17,25,陽,結,陽,陽,結,結,circuit,結,0.2119,0.2119,0.002
レストランで美優と哲也が本棚を見ていた。哲也は面白そうなネックレスを選び、,597,1,3,5,6,8,14,16,25,哲,美,哲,哲,美,美,ablation,美,0.373,0.373,0.0003
美優と陽菜は店の図書館にいた。陽菜は借りていたキスを読み終え、,937,1,1,3,4,6,16,18,28,陽,美,陽,陽,美,美,eval,美,0.4648,0.4648,0.0023
店で陸と和也が乾杯しようとしていた。和也は冷えた骨を開け、,1010,1,3,4,5,7,14,16,23,和,陸,和,和,陸,陸,ablation,店,0.0537,0.0474,0.0024
店で亮と陽菜が準備をしていた。陽菜は余分な指輪を持っていたので、,720,1,3,4,5,7,12,14,24,陽,亮,陽,陽,亮,亮,ablation,店,0.2012,0.2012,0.0083
病院で彩と美優が歩いていたとき、美優は珍しい飲み物を見つけ、すぐに,182,1,4,5,6,8,13,15,23,美,彩,美,美,彩,彩,ablation,彩,0.2559,0.2559,0.0269
山で美月と翼が仕事をしていた。翼は新しいコンピューターを作成し、その内容を,500,1,3,5,6,7,11,12,25,翼,美,翼,翼,美,美,eval,美,0.3301,0.3301,0.0005
一輝と健太が家で席に着いた。健太は熱い骨を持ってきて、,410,1,1,3,4,6,14,16,23,健,一,健,健,一,一,ablation,一,0.373,0.373,0.0007
病院で彩と達也が話していた。達也は骨を取り出すと、,34,1,4,5,6,8,12,14,20,達,彩,達,達,彩,彩,ablation,彩,0.2578,0.2578,0.0013
和也と美優は庭で休憩していた。美優は携帯の画面にあるキスを表示し、,801,1,1,3,4,6,13,15,28,美,和,美,美,和,和,ablation,和,0.3398,0.3398,0.0262
オフィスの隅で直人と陽菜が二人きりだった。陽菜は衝撃的な骨を知り、こっそりと,546,1,7,9,9,11,17,19,34,陽,直,陽,陽,直,直,ablation,直,0.3105,0.3105,0.0039
駅で大輔と翔太が準備をしていた。翔太は余分なコンピューターを持っていたので、,780,1,4,6,7,9,14,16,28,翔,大,翔,翔,大,大,ablation,大,0.1904,0.1904,0.0079
山で葵と愛が帰り支度をしていた。愛は車の指輪を見つけ、,928,1,3,4,5,6,13,14,21,愛,葵,愛,愛,葵,葵,ablation,葵,0.3418,0.3418,0.0031
レストランで陸と翔太が話していた。翔太はコンピューターを取り出すと、,20,1,3,4,5,7,11,13,22,翔,陸,翔,翔,陸,陸,eval,陸,0.0405,0.0405,0.0029
店で陸と一輝が帰り支度をしていた。一輝は車の飲み物を見つけ、,870,1,3,4,5,7,14,16,23,一,陸,一,一,陸,陸,ablation,陸,0.1621,0.1621,0.0193
家で哲也と拓也が準備をしていた。拓也は余分なキスを持っていたので、,769,1,3,5,6,8,13,15,25,拓,哲,拓,拓,哲,哲,ablation,家,0.165,0.0471,0.006
葵と大輔が店で席に着いた。大輔は熱いネックレスを持ってきて、,365,1,1,2,3,5,13,15,24,大,葵,大,大,葵,葵,ablation,葵,0.3262,0.3262,0.0036
オフィスの隅で結衣と健太が二人きりだった。健太は衝撃的なスナックを知り、こっそりと,551,1,7,9,10,12,18,20,37,健,結,健,健,結,結,ablation,結,0.1147,0.1147,0.0114
レストランで優花と愛が買い物をしていた。愛は素敵なネックレスを購入し、,237,1,3,5,6,7,12,13,23,愛,優,愛,愛,優,優,ablation,優,0.7773,0.7773,0.0022
駅で剛と陽菜が準備をしていた。陽菜は余分なネックレスを持っていたので、,781,1,4,5,6,8,13,15,26,陽,剛,陽,陽,剛,剛,circuit,その,0.0415,0.0126,0.0195
店で涼太と大輔が準備をしていた。大輔は余分な飲み物を持っていたので、,726,1,3,5,6,8,13,15,25,大,涼,大,大,涼,涼,ablation,店,0.1377,0.1299,0.0226
山で彩と涼太が準備をしていた。涼太は余分な指輪を持っていたので、,784,1,3,4,5,7,12,14,24,涼,彩,涼,涼,彩,彩,ablation,彩,0.2637,0.2637,0.019
家で亮と翔太が仕事をしていた。翔太は新しいネックレスを作成し、その内容を,485,1,3,4,5,7,11,13,25,翔,亮,翔,翔,亮,亮,ablation,亮,0.4609,0.4609,0.0005
レストランで涼太と翼が買い物をしていた。翼は素敵なネックレスを購入し、,237,1,3,5,6,7,12,13,23,翼,涼,翼,翼,涼,涼,ablation,涼,0.6875,0.6875,0.0008
哲也と亮はオフィスにいた。亮は落ちていた骨を拾い、,114,1,1,3,4,5,12,13,21,亮,哲,亮,亮,哲,哲,ablation,哲,0.8047,0.8047,0.0001
直人と陽菜は病院で休憩していた。陽菜は携帯の画面にあるネックレスを表示し、,829,1,1,3,3,5,13,15,29,陽,直,陽,陽,直,直,ablation,直,0.5938,0.5938,0.0062
レストランで直人と拓也が仕事をしていた。拓也は新しい飲み物を作成し、その内容を,454,1,3,5,5,7,11,13,24,拓,直,拓,拓,直,直,eval,直,0.2793,0.2793,0.0004
和也と美月が駅で席に着いた。美月は熱い飲み物を持ってきて、,422,1,1,3,4,6,15,17,25,美,和,美,美,和,和,eval,和,0.3418,0.3418,0.0023
病院で愛と拓也が話していた。拓也は指輪を取り出すと、,32,1,4,5,6,8,12,14,21,拓,愛,拓,拓,愛,愛,ablation,病,0.0562,0.0496,0.0034
剛と翔太が山で席に着いた。翔太は熱いネックレスを持ってきて、,429,1,1,2,3,5,13,15,24,翔,剛,翔,翔,剛,剛,ablation,剛,0.0525,0.0525,0.0097
店で哲也と陽菜が乾杯しようとしていた。陽菜は冷えた骨を開け、,1010,1,3,5,6,8,15,17,24,陽,哲,陽,陽,哲,哲,ablation,店,0.0457,0.0168,0.0011
庭で楓と結衣が練習していた。結衣はスナックをキャッチすると、力強く,303,1,3,5,6,8,13,15,26,結,�,結,結,�,�,circuit,ス,0.0364,0.0,0.0011
家で翼と七海が買い物をしていた。七海は素敵な飲み物を購入し、,270,1,3,4,5,7,12,14,23,七,翼,七,七,翼,翼,ablation,翼,0.5078,0.5078,0.0021
美優と陽菜が庭で席に着いた。陽菜は熱い飲み物を持ってきて、,374,1,1,3,4,6,14,16,24,陽,美,陽,陽,美,美,ablation,美,0.4414,0.4414,0.0041
翼と哲也が店で席に着いた。哲也は熱い骨を持ってきて、,362,1,1,2,3,5,13,15,22,哲,翼,哲,哲,翼,翼,ablation,翼,0.4375,0.4375,0.0008
駅で直樹と達也が準備をしていた。達也は余分なスナックを持っていたので、,783,1,4,6,7,9,14,16,27,達,直,達,達,直,直,ablation,直,0.126,0.126,0.0281
レストランで千尋と愛が本棚を見ていた。愛は面白そうな飲み物を選び、,598,1,3,5,6,7,13,14,22,愛,千,愛,愛,千,千,ablation,千,0.7852,0.7852,0.0072
彩と哲也は駅で修理をしていた。哲也は近くにあったスナックを掴み、,711,1,1,2,3,5,13,15,26,哲,彩,哲,哲,彩,彩,eval,彩,0.1357,0.1357,0.006
店で翼と健太が準備をしていた。健太は余分な指輪を持っていたので、,720,1,3,4,5,7,12,14,24,健,翼,健,健,翼,翼,ablation,翼,0.165,0.165,0.0175
山で優花と健太が練習していた。健太は骨をキャッチすると、力強く,354,1,3,5,6,8,13,15,24,健,優,健,健,優,優,ablation,、,0.042,0.006,0.0025
家で花と陽菜が帰り支度をしていた。陽菜は車のキスを見つけ、,913,1,3,4,5,7,14,16,23,陽,花,陽,陽,花,花,eval,花,0.0439,0.0439,0.0134
レストランで一輝と亮が話していた。亮はバスケットボールを取り出すと、,19,1,3,5,6,7,11,12,20,亮,一,亮,亮,一,一,eval,一,0.1641,0.1641,0.003
学校で美優と陽菜が本棚を見ていた。陽菜は面白そうな骨を選び、,602,1,3,5,6,8,14,16,23,陽,美,陽,陽,美,美,circuit,美,0.4746,0.4746,0.0053
陽菜と翔太は家で休憩していた。翔太は携帯の画面にあるコンピューターを表示し、,844,1,1,3,4,6,13,15,30,翔,陽,翔,翔,陽,陽,ablation,陽,0.1924,0.1924,0.0018
駅で大輔と翔太が準備をしていた。翔太は余分なキスを持っていたので、,777,1,4,6,7,9,14,16,26,翔,大,翔,翔,大,大,eval,大,0.3086,0.3086,0.0077
彩と陽菜は山の図書館にいた。陽菜は借りていたバスケットボールを読み終え、,1003,1,1,2,3,5,15,17,28,陽,彩,陽,陽,彩,彩,ablation,彩,0.4668,0.4668,0.0008
山で亮と陽菜が準備をしていた。陽菜は余分なスナックを持っていたので、,791,1,3,4,5,7,12,14,25,陽,亮,陽,陽,亮,亮,circuit,山,0.2695,0.0728,0.0092
レストランで美優と結衣が話していた。結衣はキスを取り出すと、,17,1,3,5,6,8,12,14,21,結,美,結,結,美,美,ablation,美,0.1943,0.1943,0.015
聡と陽菜は家にいた。陽菜は落ちていたネックレスを拾い、,125,1,1,3,4,6,11,13,23,陽,�,陽,陽,�,�,ablation,�,0.3672,0.0,0.0104
病院で優花と陽菜が仕事をしていた。陽菜は新しい指輪を作成し、その内容を,464,1,4,6,7,9,13,15,26,陽,優,陽,陽,優,優,circuit,優,0.2832,0.2832,0.0383
オフィスの隅で亮と陽菜が二人きりだった。陽菜は衝撃的なコンピューターを知り、こっそりと,548,1,7,8,9,11,17,19,37,陽,亮,陽,陽,亮,亮,ablation,亮,0.166,0.166,0.0136
学校の隅で美羽と陸が二人きりだった。陸は衝撃的な指輪を知り、こっそりと,528,1,5,7,8,9,15,16,32,陸,美,陸,陸,美,美,ablation,美,0.2812,0.2812,0.0062
哲也と陽菜はオフィスの図書館にいた。陽菜は借りていたキスを読み終え、,977,1,1,3,4,6,18,20,30,陽,哲,陽,陽,哲,哲,ablation,哲,0.4863,0.4863,0.0008
病院でさくらと愛が買い物をしていた。愛は素敵なネックレスを購入し、,253,1,4,7,8,9,14,15,25,愛,さ,愛,愛,さ,さ,ablation,さ,0.6172,0.6172,0.0014
翼と陽菜はオフィスで修理をしていた。陽菜は近くにあったコンピューターを掴み、,692,1,1,2,3,5,14,16,28,陽,翼,陽,陽,翼,翼,ablation,翼,0.5898,0.5898,0.0009
葵と七海は山の図書館にいた。七海は借りていたキスを読み終え、,1001,1,1,2,3,5,15,17,27,七,葵,七,七,葵,葵,ablation,葵,0.3672,0.3672,0.0021
病院で一輝と拓也が話していた。拓也は指輪を取り出すと、,32,1,4,6,7,9,13,15,22,拓,一,拓,拓,一,一,ablation,一,0.1162,0.1162,0.0027
哲也と翔太は山にいた。翔太は落ちていたバスケットボールを拾い、,139,1,1,3,4,6,11,13,23,翔,哲,翔,翔,哲,哲,ablation,哲,0.7539,0.7539,0.0013
直人と拓也は病院にいた。拓也は落ちていた骨を拾い、,106,1,1,3,3,5,11,13,21,拓,直,拓,拓,直,直,eval,直,0.5,0.5,0.0011
庭で哲也と大輔が準備をしていた。大輔は余分な指輪を持っていたので、,728,1,3,5,6,8,13,15,25,大,哲,大,大,哲,哲,circuit,庭,0.2715,0.0347,0.0153
店で健太と翔太が練習していた。翔太はバスケットボールをキャッチすると、力強く,291,1,3,5,6,8,13,15,26,翔,健,翔,翔,健,健,ablation,投,0.2002,0.0018,0.0011
和也と葵は店で休憩していた。葵は携帯の画面にあるバスケットボールを表示し、,795,1,1,3,4,5,12,13,27,葵,和,葵,葵,和,和,ablation,和,0.2617,0.2617,0.0101
駅で葵と一輝が練習していた。一輝は骨をキャッチすると、力強く,346,1,4,5,6,8,13,15,24,一,葵,一,一,葵,葵,ablation,投,0.0583,0.0033,0.0201
オフィスの隅で哲也と亮が二人きりだった。亮は衝撃的なコンピューターを知り、こっそりと,548,1,7,9,10,11,17,18,36,亮,哲,亮,亮,哲,哲,eval,哲,0.0728,0.0728,0.0049
愛と拓也は病院の図書館にいた。拓也は借りていた飲み物を読み終え、,974,1,1,2,3,5,16,18,28,拓,愛,拓,拓,愛,愛,ablation,愛,0.4277,0.4277,0.0045
病院で美優と愛が乾杯しようとしていた。愛は冷えた飲み物を開け、,1046,1,4,6,7,8,15,16,24,愛,美,愛,愛,美,美,ablation,美,0.2676,0.2676,0.0049
店の隅で哲也と愛が二人きりだった。愛は衝撃的なキスを知り、こっそりと,505,1,5,7,8,9,15,16,32,愛,哲,愛,愛,哲,哲,ablation,哲,0.1963,0.1963,0.0118
美優と亮は庭にいた。亮は落ちていた骨を拾い、,82,1,1,3,4,5,10,11,19,亮,美,亮,亮,美,美,ablation,美,0.6836,0.6836,0.0002
家の隅で一輝と美優が二人きりだった。美優は衝撃的なコンピューターを知り、こっそりと,556,1,4,6,7,9,15,17,35,美,一,美,美,一,一,ablation,家,0.1206,0.1064,0.0569
オフィスで和也と達也が本棚を見ていた。達也は面白そうな指輪を選び、,616,1,5,7,8,10,16,18,26,達,和,達,達,和,和,ablation,和,0.4121,0.4121,0.0005
山で哲也と拓也が本棚を見ていた。拓也は面白そうなキスを選び、,641,1,3,5,6,8,14,16,24,拓,哲,拓,拓,哲,哲,ablation,山,0.6211,0.0069,0.0003
学校で結衣と健太が話していた。健太は指輪を取り出すと、,24,1,3,5,6,8,12,14,21,健,結,健,健,結,結,ablation,結,0.3789,0.3789,0.0058
学校で愛と陽菜が本棚を見ていた。陽菜は面白そうな飲み物を選び、,606,1,3,4,5,7,13,15,23,陽,愛,陽,陽,愛,愛,ablation,愛,0.3945,0.3945,0.0173
店で陸と優花が話していた。優花は飲み物を取り出すと、,6,1,3,4,5,7,11,13,20,優,陸,優,優,陸,陸,ablation,店,0.1611,0.0864,0.0132
愛と大輔はオフィスで休憩していた。大輔は携帯の画面にあるバスケットボールを表示し、,835,1,1,2,3,5,14,16,30,大,愛,大,大,愛,愛,eval,愛,0.582,0.582,0.0396
レストランで愛と翔太が準備をしていた。翔太は余分なスナックを持っていたので、,743,1,3,4,5,7,12,14,25,翔,愛,翔,翔,愛,愛,ablation,愛,0.0894,0.0894,0.0289
病院で愛と翔太が本棚を見ていた。翔太は面白そうなバスケットボールを選び、,611,1,4,5,6,8,14,16,25,翔,愛,翔,翔,愛,愛,circuit,病,0.3652,0.1719,0.0071
一輝と結衣は駅の図書館にいた。結衣は借りていたコンピューターを読み終え、,996,1,1,3,4,6,17,19,31,結,一,結,結,一,一,ablation,一,0.2256,0.2256,0.0099
学校の隅で美月と拓也が二人きりだった。拓也は衝撃的なキスを知り、こっそりと,529,1,5,7,8,10,16,18,34,拓,美,拓,拓,美,美,ablation,美,0.1943,0.1943,0.001
拓也と健太が家で席に着いた。健太は熱い骨を持ってきて、,410,1,1,3,4,6,14,16,23,健,拓,健,健,拓,拓,eval,拓,0.5547,0.5547,0.0027
直樹と愛は家で修理をしていた。愛は近くにあった骨を掴み、,698,1,1,3,4,5,12,13,22,愛,直,愛,愛,直,直,ablation,直,0.582,0.582,0.0025
病院で愛と結衣が本棚を見ていた。結衣は面白そうな飲み物を選び、,614,1,4,5,6,8,14,16,24,結,愛,結,結,愛,愛,ablation,病,0.4492,0.2119,0.0056
七海と美優は山にいた。美優は落ちていたバスケットボールを拾い、,139,1,1,3,4,6,11,13,23,美,七,美,美,七,七,ablation,七,0.4297,0.4297,0.0048
レストランで葵と拓也が乾杯しようとしていた。拓也は冷えた飲み物を開け、,1030,1,3,4,5,7,14,16,24,拓,葵,拓,拓,葵,葵,ablation,葵,0.1973,0.1973,0.0001
病院で健太と翔太が準備をしていた。翔太は余分なバスケットボールを持っていたので、,755,1,4,6,7,9,14,16,27,翔,健,翔,翔,健,健,eval,健,0.4062,0.4062,0.0294
家で拓也と大輔が本棚を見ていた。大輔は面白そうなコンピューターを選び、,628,1,3,5,6,8,14,16,26,大,拓,大,大,拓,拓,eval,家,0.1118,0.082,0.0126
レストランの隅で直樹と翔太が二人きりだった。翔太は衝撃的なスナックを知り、こっそりと,527,1,5,7,8,10,16,18,35,翔,直,翔,翔,直,直,ablation,直,0.1787,0.1787,0.0054
愛と大輔がレストランで席に着いた。大輔は熱い飲み物を持ってきて、,382,1,1,2,3,5,13,15,23,大,愛,大,大,愛,愛,ablation,愛,0.543,0.543,0.0082
楓と健太は駅にいた。健太は落ちていたバスケットボールを拾い、,131,1,1,3,4,6,12,14,24,健,�,健,健,�,�,ablation,�,0.6797,0.0,0.001
和也と哲也はオフィスの図書館にいた。哲也は借りていたバスケットボールを読み終え、,979,1,1,3,4,6,18,20,31,哲,和,哲,哲,和,和,ablation,和,0.1484,0.1484,0.0051
山の隅で亮と健太が二人きりだった。健太は衝撃的な飲み物を知り、こっそりと,574,1,5,6,7,9,15,17,33,健,亮,健,健,亮,亮,ablation,亮,0.2197,0.2197,0.0024
店で涼太と陽菜が話していた。陽菜はコンピューターを取り出すと、,4,1,3,5,6,8,12,14,23,陽,涼,陽,陽,涼,涼,ablation,店,0.0947,0.0393,0.0032
七海と陽菜はオフィスにいた。陽菜は落ちていたネックレスを拾い、,117,1,1,3,4,6,13,15,25,陽,七,陽,陽,七,七,eval,七,0.6289,0.6289,0.0018
庭で裕太と美優が準備をしていた。美優は余分なバスケットボールを持っていたので、,731,1,3,5,6,8,13,15,26,美,裕,美,美,裕,裕,eval,裕,0.373,0.373,0.0198
レストランで優花と拓也が練習していた。拓也はバスケットボールをキャッチすると、力強く,307,1,3,5,6,8,13,15,26,拓,優,拓,拓,優,優,ablation,投,0.1216,0.0069,0.0
店で剛と拓也が話していた。拓也は骨を取り出すと、,2,1,3,4,5,7,11,13,19,拓,剛,拓,拓,剛,剛,ablation,店,0.1416,0.0159,0.0004
駅で美月と健太が準備をしていた。健太は余分なバスケットボールを持っていたので、,779,1,4,6,7,9,14,16,27,健,美,健,健,美,美,eval,美,0.3633,0.3633,0.016
